screen_name,phi,merge
SenDuckworth,-1.67331,senduckworth
SenFeinstein,-1.6433,senfeinstein
SenTinaSmith,-1.64252,sentinasmith
SenGillibrand,-1.60407,sengillibrand
SenWarren,-1.51355,senwarren
PattyMurray,-1.51175,pattymurray
SenatorHassan,-1.49597,senatorhassan
maziehirono,-1.49344,maziehirono
SenatorCantwell,-1.40335,senatorcantwell
SenatorBaldwin,-1.31376,senatorbaldwin
SenCortezMasto,-1.18541,sencortezmasto
SenStabenow,-1.14024,senstabenow
SenatorCollins,-1.10762,senatorcollins
SenatorShaheen,-0.9298,senatorshaheen
McCaskillOffice,-0.74428,mccaskilloffice
lisamurkowski,-0.70206,lisamurkowski
SenatorHeitkamp,-0.23508,senatorheitkamp
SenCapito,-0.02416,sencapito
SenatorFischer,0.33818,senatorfischer
SenJoniErnst,0.85116,senjoniernst
SenBooker,-1.74254,senbooker
SenBlumenthal,-1.53881,senblumenthal
RonWyden,-1.51979,ronwyden
SenJeffMerkley,-1.51199,senjeffmerkley
SenSchumer,-1.49213,senschumer
SenatorDurbin,-1.48286,senatordurbin
SenWhitehouse,-1.46668,senwhitehouse
MarkWarner,-1.42768,markwarner
SenatorTester,-1.40808,senatortester
SenSanders,-1.38537,sensanders
SenSherrodBrown,-1.38045,sensherrodbrown
SenMarkey,-1.37359,senmarkey
SenBillNelson,-1.34885,senbillnelson
MartinHeinrich,-1.34456,martinheinrich
ChrisVanHollen,-1.34172,chrisvanhollen
SenBobCasey,-1.32963,senbobcasey
SenDougJones,-1.32662,sendougjones
SenGaryPeters,-1.30314,sengarypeters
JeffFlake,-1.28225,jeffflake
SenatorCardin,-1.26362,senatorcardin
SenBennetCO,-1.26047,senbennetco
SenAngusKing,-1.25332,senangusking
SenMurphyOffice,-1.23082,senmurphyoffice
SenatorTomUdall,-1.21298,senatortomudall
SenatorLeahy,-1.17098,senatorleahy
SenBrianSchatz,-0.99684,senbrianschatz
SenatorMenendez,-0.98112,senatormenendez
SenJackReed,-0.87322,senjackreed
SenJohnMcCain,-0.84045,senjohnmccain
SenatorCarper,-0.80928,senatorcarper
SenBobCorker,-0.80505,senbobcorker
Sen_JoeManchin,-0.62591,sen_joemanchin
SenCoryGardner,-0.57221,sencorygardner
SteveDaines,-0.46989,stevedaines
SenDonnelly,-0.39429,sendonnelly
SenCoonsOffice,-0.38634,sencoonsoffice
SenDanSullivan,-0.07605,sendansullivan
SenatorBurr,-0.06249,senatorburr
